project,table,variable
BiB_AgeOfWonder,bioimpedance_dr25,aow_recruitment_id
BiB_AgeOfWonder,bioimpedance_dr25,aow_person_id
BiB_AgeOfWonder,bioimpedance_dr25,height
BiB_AgeOfWonder,bioimpedance_dr25,BiBPersonID
BiB_AgeOfWonder,bioimpedance_dr25,is_bib
BiB_AgeOfWonder,bioimpedance_dr25,recruitment_era
BiB_AgeOfWonder,bioimpedance_dr25,age_recruitment_y
BiB_AgeOfWonder,bioimpedance_dr25,age_recruitment_m
BiB_AgeOfWonder,bioimpedance_dr25,gender
BiB_AgeOfWonder,bioimpedance_dr25,ethnicity_1
BiB_AgeOfWonder,bioimpedance_dr25,ethnicity_2
BiB_AgeOfWonder,bioimpedance_dr25,birth_year
BiB_AgeOfWonder,bioimpedance_dr25,birth_month
BiB_AgeOfWonder,bioimpedance_dr25,school_id
BiB_AgeOfWonder,bioimpedance_dr25,year_group
BiB_AgeOfWonder,bioimpedance_dr25,form_tutor_id
BiB_AgeOfWonder,bioimpedance_dr25,date_measurement
BiB_AgeOfWonder,bioimpedance_dr25,age_m
BiB_AgeOfWonder,bioimpedance_dr25,age_y
BiB_AgeOfWonder,bioimpedance_dr25,model
BiB_AgeOfWonder,bioimpedance_dr25,weight
BiB_AgeOfWonder,bioimpedance_dr25,clothes
BiB_AgeOfWonder,bioimpedance_dr25,bmi
BiB_AgeOfWonder,bioimpedance_dr25,fatp
BiB_AgeOfWonder,bioimpedance_dr25,fatm
BiB_AgeOfWonder,bioimpedance_dr25,pmm
BiB_AgeOfWonder,bioimpedance_dr25,ffm
BiB_AgeOfWonder,bioimpedance_dr25,tbw
BiB_AgeOfWonder,bioimpedance_dr25,imp
