project,table,variable
BiB_AgeOfWonder,bloods_dr25,aow_recruitment_id
BiB_AgeOfWonder,bloods_dr25,aow_person_id
BiB_AgeOfWonder,bloods_dr25,is_bib
BiB_AgeOfWonder,bloods_dr25,BiBPersonID
BiB_AgeOfWonder,bloods_dr25,birth_year
BiB_AgeOfWonder,bloods_dr25,birth_month
BiB_AgeOfWonder,bloods_dr25,age_recruitment_m
BiB_AgeOfWonder,bloods_dr25,age_recruitment_y
BiB_AgeOfWonder,bloods_dr25,recruitment_era
BiB_AgeOfWonder,bloods_dr25,school_id
BiB_AgeOfWonder,bloods_dr25,year_group
BiB_AgeOfWonder,bloods_dr25,form_tutor_id
BiB_AgeOfWonder,bloods_dr25,gender
BiB_AgeOfWonder,bloods_dr25,ethnicity_1
BiB_AgeOfWonder,bloods_dr25,ethnicity_2
BiB_AgeOfWonder,bloods_dr25,date_test
BiB_AgeOfWonder,bloods_dr25,age_m
BiB_AgeOfWonder,bloods_dr25,age_y
BiB_AgeOfWonder,bloods_dr25,albumin
BiB_AgeOfWonder,bloods_dr25,alp
BiB_AgeOfWonder,bloods_dr25,alt
BiB_AgeOfWonder,bloods_dr25,basophils
BiB_AgeOfWonder,bloods_dr25,bilirubin
BiB_AgeOfWonder,bloods_dr25,cholesterol
BiB_AgeOfWonder,bloods_dr25,cholesterol_hdl_ratio
BiB_AgeOfWonder,bloods_dr25,cholesterol_nonhdl
BiB_AgeOfWonder,bloods_dr25,creatinine
BiB_AgeOfWonder,bloods_dr25,eosinophils
BiB_AgeOfWonder,bloods_dr25,glucose_plasma
BiB_AgeOfWonder,bloods_dr25,haemoglobin
BiB_AgeOfWonder,bloods_dr25,haematocrit
BiB_AgeOfWonder,bloods_dr25,hba1c
BiB_AgeOfWonder,bloods_dr25,hdl
BiB_AgeOfWonder,bloods_dr25,ldl
BiB_AgeOfWonder,bloods_dr25,lymphocytes
BiB_AgeOfWonder,bloods_dr25,mch
BiB_AgeOfWonder,bloods_dr25,mchc
BiB_AgeOfWonder,bloods_dr25,mcv
BiB_AgeOfWonder,bloods_dr25,monocytes
BiB_AgeOfWonder,bloods_dr25,neutrophils
BiB_AgeOfWonder,bloods_dr25,platelets
BiB_AgeOfWonder,bloods_dr25,potassium
BiB_AgeOfWonder,bloods_dr25,rbc
BiB_AgeOfWonder,bloods_dr25,rdw
BiB_AgeOfWonder,bloods_dr25,sodium
BiB_AgeOfWonder,bloods_dr25,triglycerides
BiB_AgeOfWonder,bloods_dr25,vitamin_d_total
BiB_AgeOfWonder,bloods_dr25,urea
BiB_AgeOfWonder,bloods_dr25,wbc
