project,table,variable
BiB_AgeOfWonder,recruitment_dr25,aow_person_id
BiB_AgeOfWonder,recruitment_dr25,BiBPersonID
BiB_AgeOfWonder,recruitment_dr25,is_bib
BiB_AgeOfWonder,recruitment_dr25,upn
BiB_AgeOfWonder,recruitment_dr25,aow_recruitment_id
BiB_AgeOfWonder,recruitment_dr25,birth_date
BiB_AgeOfWonder,recruitment_dr25,birth_year
BiB_AgeOfWonder,recruitment_dr25,birth_month
BiB_AgeOfWonder,recruitment_dr25,postcode
BiB_AgeOfWonder,recruitment_dr25,recruitment_era
BiB_AgeOfWonder,recruitment_dr25,recruitment_date
BiB_AgeOfWonder,recruitment_dr25,recruitment_year
BiB_AgeOfWonder,recruitment_dr25,recruitment_month
BiB_AgeOfWonder,recruitment_dr25,age_recruitment_y
BiB_AgeOfWonder,recruitment_dr25,age_recruitment_m
BiB_AgeOfWonder,recruitment_dr25,school_establishment_no
BiB_AgeOfWonder,recruitment_dr25,school
BiB_AgeOfWonder,recruitment_dr25,school_id
BiB_AgeOfWonder,recruitment_dr25,year_group
BiB_AgeOfWonder,recruitment_dr25,form_tutor
BiB_AgeOfWonder,recruitment_dr25,form_tutor_id
BiB_AgeOfWonder,recruitment_dr25,gender
BiB_AgeOfWonder,recruitment_dr25,ethnicity_1
BiB_AgeOfWonder,recruitment_dr25,ethnicity_2
BiB_AgeOfWonder,recruitment_dr25,fsm
BiB_AgeOfWonder,recruitment_dr25,sen
BiB_AgeOfWonder,recruitment_dr25,LSOA11CD
BiB_AgeOfWonder,recruitment_dr25,IMD_2019_decile
BiB_AgeOfWonder,recruitment_dr25,IMD_2019_score
BiB_AgeOfWonder,recruitment_dr25,has_survey_m24
BiB_AgeOfWonder,recruitment_dr25,has_survey_m231
BiB_AgeOfWonder,recruitment_dr25,has_survey_m232
BiB_AgeOfWonder,recruitment_dr25,has_survey_m1
BiB_AgeOfWonder,recruitment_dr25,has_survey_m2
BiB_AgeOfWonder,recruitment_dr25,has_survey_m3
BiB_AgeOfWonder,recruitment_dr25,has_survey_m4
BiB_AgeOfWonder,recruitment_dr25,has_survey
BiB_AgeOfWonder,recruitment_dr25,has_bioimp
BiB_AgeOfWonder,recruitment_dr25,has_bp
BiB_AgeOfWonder,recruitment_dr25,has_skinfld
BiB_AgeOfWonder,recruitment_dr25,has_htwt
BiB_AgeOfWonder,recruitment_dr25,has_bloods
BiB_AgeOfWonder,recruitment_dr25,has_ckcog
BiB_AgeOfWonder,recruitment_dr25,has_measure
BiB_AgeOfWonder,recruitment_dr25,has_data
