project,table,variable
BiB_AgeOfWonder,survey_mod24_derived_dr25,aow_person_id
BiB_AgeOfWonder,survey_mod24_derived_dr25,BiBPersonID
BiB_AgeOfWonder,survey_mod24_derived_dr25,is_bib
BiB_AgeOfWonder,survey_mod24_derived_dr25,aow_recruitment_id
BiB_AgeOfWonder,survey_mod24_derived_dr25,recruitment_era
BiB_AgeOfWonder,survey_mod24_derived_dr25,age_recruitment_y
BiB_AgeOfWonder,survey_mod24_derived_dr25,age_recruitment_m
BiB_AgeOfWonder,survey_mod24_derived_dr25,gender
BiB_AgeOfWonder,survey_mod24_derived_dr25,ethnicity_1
BiB_AgeOfWonder,survey_mod24_derived_dr25,ethnicity_2
BiB_AgeOfWonder,survey_mod24_derived_dr25,birth_year
BiB_AgeOfWonder,survey_mod24_derived_dr25,birth_month
BiB_AgeOfWonder,survey_mod24_derived_dr25,school_id
BiB_AgeOfWonder,survey_mod24_derived_dr25,year_group
BiB_AgeOfWonder,survey_mod24_derived_dr25,form_tutor_id
BiB_AgeOfWonder,survey_mod24_derived_dr25,age_survey_y
BiB_AgeOfWonder,survey_mod24_derived_dr25,age_survey_m
BiB_AgeOfWonder,survey_mod24_derived_dr25,survey_date
BiB_AgeOfWonder,survey_mod24_derived_dr25,survey_version
BiB_AgeOfWonder,survey_mod24_derived_dr25,survey_mode
BiB_AgeOfWonder,survey_mod24_derived_dr25,own_fin_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,food_avail_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_ga
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_md
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_md_t
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_ga_t
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_total_t
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_md_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_ga_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,rcad_total_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_emotion
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_conduct
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_hyperact
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_peer
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_prosoc
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_external
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_internal
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_emotion_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_conduct_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_hyperact_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_peer_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_prosoc_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,sdq_total_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,wellbeing
BiB_AgeOfWonder,survey_mod24_derived_dr25,swemwbs_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,swemwbs_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,loneliness
BiB_AgeOfWonder,survey_mod24_derived_dr25,emo_inf
BiB_AgeOfWonder,survey_mod24_derived_dr25,emo_form
BiB_AgeOfWonder,survey_mod24_derived_dr25,emo_sch
BiB_AgeOfWonder,survey_mod24_derived_dr25,emo_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,brs_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,brs_mean
BiB_AgeOfWonder,survey_mod24_derived_dr25,brs_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,edeqs_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,edeqs_cat
BiB_AgeOfWonder,survey_mod24_derived_dr25,paqa_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,paqa_mean
BiB_AgeOfWonder,survey_mod24_derived_dr25,yapsed_total
BiB_AgeOfWonder,survey_mod24_derived_dr25,yapsed_mean
BiB_AgeOfWonder,survey_mod24_derived_dr25,addi_inst_exp
BiB_AgeOfWonder,survey_mod24_derived_dr25,addi_peer_exp
BiB_AgeOfWonder,survey_mod24_derived_dr25,addi_total
