variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder.recruitment_dr24.aow_person_id,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,aow_person_id,Age of Wonder person ID,text,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.BiBPersonID,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,BiBPersonID,BiB cohort person ID,text,,administration,8014,5678
BiB_AgeOfWonder.recruitment_dr24.is_bib,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,is_bib,Participant is in original BiB cohort,integer,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.aow_recruitment_id,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,aow_recruitment_id,Age of Wonder year group recruitment ID,text,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.birth_year,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,birth_year,Year of birth,integer,,age,23482,17840
BiB_AgeOfWonder.recruitment_dr24.birth_month,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,birth_month,Month of birth,integer,,age,23482,17840
BiB_AgeOfWonder.recruitment_dr24.recruitment_era,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,recruitment_era,Recruitment era (academic year),text,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.recruitment_date,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,recruitment_date,Recruitment date (import of class list),date,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.recruitment_year,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,recruitment_year,Recruitment year,integer,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.recruitment_month,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,recruitment_month,Recruitment month,integer,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.age_recruitment_y,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,age_recruitment_y,Age at recruitment in years,integer,,age,23482,17840
BiB_AgeOfWonder.recruitment_dr24.age_recruitment_m,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,age_recruitment_m,Age at recruitment in months,integer,,age,23482,17840
BiB_AgeOfWonder.recruitment_dr24.school_id,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,school_id,Pseudo school ID,text,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.year_group,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,year_group,Year group at recruitment,categorical,[7 Year 7] [8 Year 8] [9 Year 9] [10 Year 10] [11 Year 11] [12 Year 12] [13 Year 13] [-1 various - see module specific data],education,23482,17840
BiB_AgeOfWonder.recruitment_dr24.form_tutor_id,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,form_tutor_id,Pseudo recruitment form tutor ID,text,,administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.gender,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,23481,17840
BiB_AgeOfWonder.recruitment_dr24.ethnicity_1,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,23482,17840
BiB_AgeOfWonder.recruitment_dr24.ethnicity_2,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,ethnicity_2,Ethnicity reported by school - lower level category,categorical,"[11 Indian] [12 Pakistani] [13 Bangladeshi] [14 Chinese] [15 Any other Asian background] [21 Caribbean] [22 African] [23 Any other Black, Black British, or Caribbean background] [31 White and Black Caribbean] [32 White and Black African] [33 White and Asian] [34 Any other Mixed or multiple ethnic background] [41 English, Welsh, Scottish, Northern Irish or British] [42 Irish] [43 Gypsy or Irish Traveller] [44 Roma] [45 Any other White background] [51 Arab] [52 Any other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,23468,17828
BiB_AgeOfWonder.recruitment_dr24.fsm,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,fsm,Free school meals,categorical,[0 No] [1 Yes],finances,22839,17362
BiB_AgeOfWonder.recruitment_dr24.sen,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,sen,Special educational needs provision,categorical,"[0 No special educational need] [1 Special educational need support] [2 Education, Health and Care Plan]",learning_difficulties,21182,16449
BiB_AgeOfWonder.recruitment_dr24.LSOA11CD,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,LSOA11CD,"Home LSOA code, 2011 boundaries",text,,location,23049,17696
BiB_AgeOfWonder.recruitment_dr24.IMD_2019_decile,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,IMD_2019_decile,"Home IMD 2019 decile, national scale",integer,,social_classification,23049,17696
BiB_AgeOfWonder.recruitment_dr24.IMD_2019_score,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,IMD_2019_score,Home IMD 2019 score,float,,social_classification,23049,17696
BiB_AgeOfWonder.recruitment_dr24.has_survey_m231,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey_m231,Has AoW 2024 release survey module 231,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_survey_m232,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey_m232,Has AoW 2024 release survey module 232,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_survey_m1,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey_m1,Has AoW 2023 release survey module 1,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_survey_m2,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey_m2,Has AoW 2023 release survey module 2,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_survey_m3,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey_m3,Has AoW 2023 release survey module 3,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_survey_m4,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey_m4,Has AoW 2023 release survey module 4,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_survey,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_survey,Has any AoW survey from any release,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_bioimp,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_bioimp,Has AoW bioimpedance,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_bp,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_bp,Has AoW blood pressures,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_skinfld,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_skinfld,Has AoW skinfolds,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_htwt,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_htwt,Has AoW height/weight,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_measure,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_measure,Has any AoW health measure,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr24.has_data,BiB_AgeOfWonder.recruitment_dr24,BiB_AgeOfWonder,recruitment_dr24,has_data,Has any AoW data,categorical,[1 Yes] [0 No],administration,23482,17840
BiB_AgeOfWonder.recruitment_dr25.aow_person_id,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,aow_person_id,Age of Wonder person ID,text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.BiBPersonID,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,BiBPersonID,BiB cohort person ID,text,,administration,10332,5948
BiB_AgeOfWonder.recruitment_dr25.is_bib,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,is_bib,Participant is in original BiB cohort,integer,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.upn,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,upn,Unique Pupil Number,text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.aow_recruitment_id,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,aow_recruitment_id,Age of Wonder year group recruitment ID,text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.birth_date,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,birth_date,Date of birth,date,,age,35568,22853
BiB_AgeOfWonder.recruitment_dr25.birth_year,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,birth_year,Year of birth,integer,,age,35568,22853
BiB_AgeOfWonder.recruitment_dr25.birth_month,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,birth_month,Month of birth,integer,,age,35568,22853
BiB_AgeOfWonder.recruitment_dr25.postcode,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,postcode,Home postcode,text,,location,35568,22853
BiB_AgeOfWonder.recruitment_dr25.recruitment_era,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,recruitment_era,Recruitment era (academic year),text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.recruitment_date,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,recruitment_date,Recruitment date (import of class list),date,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.recruitment_year,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,recruitment_year,Recruitment year,integer,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.recruitment_month,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,recruitment_month,Recruitment month,integer,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.age_recruitment_y,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,age_recruitment_y,Age at recruitment in years,integer,,age,35568,22853
BiB_AgeOfWonder.recruitment_dr25.age_recruitment_m,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,age_recruitment_m,Age at recruitment in months,integer,,age,35568,22853
BiB_AgeOfWonder.recruitment_dr25.school_establishment_no,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,school_establishment_no,School local authority establishment number,text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.school,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,school,School name,text,,education,35568,22853
BiB_AgeOfWonder.recruitment_dr25.school_id,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,school_id,Pseudo school ID,text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.year_group,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,year_group,Year group at recruitment,categorical,[7 Year 7] [8 Year 8] [9 Year 9] [10 Year 10] [11 Year 11] [12 Year 12] [13 Year 13] [-1 various - see module specific data],education,35568,22853
BiB_AgeOfWonder.recruitment_dr25.form_tutor,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,form_tutor,Form tutor at recruitment,text,,education,35568,22853
BiB_AgeOfWonder.recruitment_dr25.form_tutor_id,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,form_tutor_id,Pseudo recruitment form tutor ID,text,,administration,35568,22853
BiB_AgeOfWonder.recruitment_dr25.gender,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,35567,22853
BiB_AgeOfWonder.recruitment_dr25.ethnicity_1,BiB_AgeOfWonder.recruitment_dr25,BiB_AgeOfWonder,recruitment_dr25,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,35559,22846
