table_id,project_name,table_name,display_name,cohort_membership,entity_type,data_subjects,data_respondents,n_variables,n_rows,n_entities,last_updated
BiB_Proteomics.CM_Controls,BiB_Proteomics,CM_Controls,Olink Explore 384 Cardiometabolic Controls,bib,participant,,,12,34354,26,2026-02-23 11:50:24.415987
BiB_Proteomics.CM_Project1,BiB_Proteomics,CM_Project1,Olink Explore 384 Cardiometabolic Project 1,bib,participant,,,16,354301,1000,2026-02-17 12:29:47.75528
BiB_Proteomics.CM_Project2,BiB_Proteomics,CM_Project2,Olink Explore 384 Cardiometabolic Project 2,bib,participant,,,25,1079077,2994,2026-02-17 12:31:24.211931
BiB_Proteomics.CVII_Controls,BiB_Proteomics,CVII_Controls,Olink Target 96 Cardiovascular II Controls,bib,participant,,,11,8740,71,2026-02-17 12:35:05.407591
BiB_Proteomics.CVII_Project1,BiB_Proteomics,CVII_Project1,Olink Target 96 Cardiovascular II Project 1,bib,participant,,,15,90896,988,2026-02-17 12:35:39.921206
BiB_Proteomics.CVII_Project2,BiB_Proteomics,CVII_Project2,Olink Target 96 Cardiovascular II Project 2,bib,participant,,,24,272964,2967,2026-02-17 12:36:32.341228
BiB_Proteomics.HT_Intensity_Controls,BiB_Proteomics,HT_Intensity_Controls,Olink Explore HT Intensity Controls,bib,participant,,,11,936555,10,2026-02-17 13:38:08.932405
BiB_Proteomics.HT_Intensity,BiB_Proteomics,HT_Intensity,Olink Explore HT Intensity,bib,participant,,,13,8380872,1548,2026-02-23 13:59:39.061199
BiB_Proteomics.HT_PlateControl,BiB_Proteomics,HT_PlateControl,Olink Explore HT Place Control,bib,participant,,,13,8380872,1548,2026-02-17 13:45:14.667433
BiB_Proteomics.HT_PlateControl_Controls,BiB_Proteomics,HT_PlateControl_Controls,Olink Explore HT Plate Control Controls,bib,participant,,,11,936555,10,2026-02-17 13:41:29.336649
